;Команда_1;Голы_1;Команда_2;Голы_2;xG_1;xG_2;Удары_1;Удары_2;Удары в створ_1;Удары в створ_2;Блок-но ударов_1;Блок-но ударов_2;Сейвы_1;Сейвы_2;Владение %_1;Владение %_2;Угловые_1;Угловые_2;Нарушения_1;Нарушения_2;Офсайды_1;Офсайды_2;Желтые карточки_1;Желтые карточки_2;Красные карточки_1;Красные карточки_2;Атаки_1;Атаки_2;Опасные атаки_1;Опасные атаки_2;Передачи_1;Передачи_2;Точность передач %_1;Точность передач %_2;Штрафные удары_1;Штрафные удары_2;Вбрасывания_1;Вбрасывания_2;Навесы_1;Навесы_2;Отборы_1;Отборы_2;Раунд;Дата;Время;Кэф_1;Кэф_х;Кэф_2;Градусы;Погода;Зрители;Дома_1;Дома_2;Таргет
174;Динамо Москва;2;ЦСКА Москва;1;2.48;1.63;18.0;16.0;5.0;7.0;4.0;3.0;7.0;4.0;53.0;47.0;5.0;5.0;11.0;11.0;0.0;3.0;2.0;1.0;0.0;0.0;75.0;62.0;41.0;30.0;388.0;337.0;75.0;78.0;12.0;11.0;21.0;12.0;14.0;19.0;23.0;17.0;5;2023-08-19;08:00:00;2.78;3.89;2.5;8;солнечно;18584.0;1;0;1
175;Рубин;2;Крылья Советов;1;1.09;0.46;9.0;7.0;4.0;3.0;3.0;2.0;3.0;1.0;41.0;59.0;4.0;6.0;20.0;12.0;0.0;1.0;1.0;3.0;0.0;1.0;53.0;60.0;30.0;31.0;297.0;421.0;70.0;80.0;12.0;19.0;17.0;16.0;11.0;18.0;27.0;13.0;5;2023-08-18;12:30:00;3.08;3.52;2.46;6;переменная облачность;5575.0;1;0;1
176;Пари НН;2;Ахмат;0;1.53;0.98;8.0;10.0;2.0;0.0;2.0;6.0;1.0;1.0;40.0;60.0;1.0;4.0;9.0;10.0;5.0;0.0;1.0;4.0;0.0;0.0;68.0;82.0;34.0;40.0;291.0;442.0;65.0;74.0;9.0;13.0;18.0;28.0;11.0;14.0;28.0;10.0;4;2023-08-14;12:30:00;2.85;3.04;2.98;7;переменная облачность;7935.0;1;0;1
177;ЦСКА Москва;3;ПФК Сочи;1;1.08;0.87;18.0;5.0;7.0;1.0;6.0;0.0;0.0;2.0;53.0;47.0;9.0;5.0;14.0;16.0;0.0;1.0;2.0;5.0;0.0;1.0;76.0;77.0;39.0;27.0;413.0;371.0;78.0;77.0;17.0;15.0;20.0;17.0;25.0;14.0;13.0;10.0;4;2023-08-13;13:00:00;1.8;3.89;4.94;8;солнечно;7150.0;1;0;1
178;Зенит;2;Факел;0;1.74;0.13;10.0;6.0;6.0;1.0;2.0;1.0;1.0;4.0;72.0;28.0;5.0;4.0;14.0;14.0;2.0;1.0;4.0;3.0;0.0;0.0;75.0;45.0;33.0;23.0;589.0;226.0;86.0;65.0;15.0;17.0;19.0;15.0;14.0;8.0;10.0;16.0;4;2023-08-13;10:30:00;1.38;5.35;9.4;14;солнечно;19558.0;1;0;1
179;Динамо Москва;2;Балтика;0;1.14;0.79;15.0;15.0;7.0;4.0;2.0;3.0;1.0;1.0;52.0;48.0;6.0;5.0;11.0;13.0;3.0;4.0;1.0;0.0;0.0;0.0;60.0;62.0;37.0;33.0;392.0;351.0;77.0;75.0;11.0;8.0;7.0;11.0;11.0;16.0;12.0;14.0;4;2023-08-13;08:00:00;2.06;3.86;3.68;8;солнечно;7684.0;1;0;1
180;Ростов;3;Рубин;0;1.63;0.39;14.0;10.0;9.0;2.0;3.0;2.0;2.0;6.0;47.0;53.0;5.0;5.0;8.0;13.0;0.0;0.0;1.0;2.0;0.0;0.0;64.0;66.0;32.0;34.0;280.0;316.0;64.0;67.0;13.0;9.0;20.0;19.0;10.0;8.0;10.0;10.0;4;2023-08-12;13:00:00;1.93;3.68;4.42;19;переменная облачность;10328.0;1;0;1
181;Оренбург;0;Краснодар;2;2.5;2.6;15.0;14.0;6.0;6.0;2.0;2.0;4.0;5.0;59.0;41.0;4.0;3.0;5.0;10.0;2.0;1.0;0.0;2.0;0.0;0.0;76.0;67.0;63.0;44.0;497.0;359.0;79.0;76.0;10.0;6.0;18.0;20.0;23.0;6.0;24.0;22.0;4;2023-08-12;10:30:00;3.6;4.04;2.04;11;переменная облачность;3901.0;1;0;2
182;Локомотив Москва;1;Крылья Советов;1;0.47;3.16;2.0;20.0;1.0;8.0;0.0;3.0;10.0;0.0;51.0;49.0;2.0;11.0;18.0;12.0;1.0;0.0;3.0;1.0;0.0;0.0;62.0;58.0;29.0;35.0;399.0;378.0;76.0;79.0;13.0;18.0;18.0;13.0;7.0;21.0;9.0;13.0;4;2023-08-12;08:00:00;1.86;4.12;4.22;8;солнечно;6763.0;1;0;0
183;Урал;3;Спартак;2;2.63;1.1;22.0;11.0;8.0;5.0;6.0;3.0;4.0;5.0;37.0;63.0;7.0;3.0;13.0;11.0;1.0;1.0;5.0;3.0;1.0;0.0;59.0;74.0;28.0;30.0;273.0;491.0;71.0;83.0;9.0;13.0;17.0;19.0;16.0;9.0;9.0;7.0;4;2023-08-11;11:00:00;3.48;3.41;2.3;7;переменная облачность;19385.0;1;0;1
184;ПФК Сочи;1;Ахмат;2;1.76;0.49;16.0;8.0;4.0;3.0;5.0;2.0;1.0;4.0;67.0;33.0;6.0;1.0;14.0;10.0;5.0;2.0;1.0;1.0;0.0;0.0;75.0;81.0;44.0;34.0;471.0;238.0;78.0;66.0;10.0;18.0;26.0;15.0;23.0;8.0;16.0;7.0;3;2023-08-06;13:00:00;2.24;3.58;3.46;15;небольшой дождь;5366.0;1;0;2
185;Зенит;2;Динамо Москва;3;1.44;1.93;15.0;6.0;5.0;3.0;4.0;1.0;1.0;1.0;68.0;32.0;13.0;4.0;4.0;10.0;3.0;2.0;1.0;2.0;1.0;0.0;66.0;49.0;42.0;20.0;632.0;301.0;88.0;75.0;13.0;9.0;14.0;13.0;29.0;8.0;16.0;20.0;3;2023-08-06;12:00:00;1.78;4.26;4.58;14;солнечно;24672.0;1;0;2
186;Балтика;2;Факел;1;0.62;0.82;8.0;8.0;2.0;1.0;2.0;2.0;0.0;0.0;51.0;49.0;5.0;4.0;17.0;14.0;1.0;4.0;2.0;3.0;0.0;0.0;75.0;77.0;49.0;39.0;341.0;334.0;68.0;65.0;18.0;17.0;28.0;28.0;20.0;13.0;12.0;15.0;3;2023-08-06;10:30:00;2.08;3.46;4.06;20;солнечно;11615.0;1;0;1
187;ЦСКА Москва;4;Локомотив Москва;1;2.8;1.02;15.0;13.0;6.0;2.0;4.0;1.0;2.0;2.0;42.0;58.0;3.0;8.0;8.0;10.0;3.0;2.0;0.0;1.0;0.0;0.0;70.0;98.0;32.0;38.0;360.0;492.0;75.0;87.0;11.0;11.0;20.0;21.0;8.0;24.0;14.0;16.0;3;2023-08-05;13:00:00;1.86;4.11;4.25;8;солнечно;12560.0;1;0;1
188;Рубин;1;Спартак;4;0.56;1.72;15.0;14.0;2.0;8.0;5.0;1.0;4.0;1.0;42.0;58.0;4.0;4.0;12.0;10.0;0.0;3.0;4.0;1.0;0.0;0.0;57.0;80.0;33.0;30.0;316.0;452.0;80.0;87.0;15.0;16.0;14.0;13.0;18.0;14.0;15.0;13.0;3;2023-08-05;10:30:00;3.62;3.9;2.07;6;переменная облачность;17806.0;1;0;2
189;Оренбург;0;Урал;2;0.48;1.45;8.0;13.0;2.0;7.0;1.0;1.0;5.0;2.0;59.0;41.0;6.0;7.0;12.0;16.0;1.0;1.0;1.0;2.0;1.0;0.0;64.0;61.0;42.0;45.0;486.0;336.0;85.0;76.0;15.0;10.0;11.0;14.0;17.0;12.0;17.0;22.0;3;2023-08-05;10:30:00;2.3;3.77;3.17;11;переменная облачность;3496.0;1;0;2
190;Крылья Советов;5;Ростов;1;3.43;1.82;11.0;15.0;7.0;4.0;1.0;3.0;3.0;2.0;35.0;65.0;1.0;13.0;4.0;11.0;6.0;0.0;1.0;4.0;0.0;0.0;57.0;75.0;33.0;49.0;247.0;459.0;77.0;85.0;12.0;12.0;10.0;12.0;8.0;29.0;9.0;11.0;3;2023-08-05;08:00:00;2.32;3.52;3.33;6;переменная облачность;6125.0;1;0;1
191;Краснодар;1;Пари НН;0;1.07;0.93;7.0;8.0;1.0;0.0;4.0;3.0;0.0;0.0;60.0;40.0;11.0;1.0;12.0;14.0;1.0;0.0;1.0;0.0;0.0;0.0;77.0;58.0;28.0;29.0;437.0;288.0;79.0;68.0;14.0;13.0;18.0;17.0;17.0;9.0;10.0;11.0;3;2023-08-04;13:00:00;1.56;4.33;6.93;21;солнечно;12217.0;1;0;1
192;Спартак;2;Балтика;1;2.27;1.32;17.0;14.0;5.0;5.0;4.0;1.0;4.0;3.0;57.0;43.0;5.0;2.0;9.0;12.0;2.0;2.0;2.0;1.0;0.0;0.0;70.0;65.0;40.0;44.0;537.0;402.0;79.0;73.0;14.0;14.0;21.0;25.0;11.0;14.0;13.0;18.0;2;2023-07-31;12:30:00;1.55;4.63;6.45;8;солнечно;10992.0;1;0;1
193;Краснодар;2;ПФК Сочи;0;1.61;0.56;15.0;12.0;5.0;5.0;4.0;4.0;5.0;4.0;54.0;46.0;7.0;7.0;6.0;12.0;2.0;2.0;1.0;0.0;0.0;0.0;64.0;63.0;23.0;32.0;426.0;348.0;82.0;78.0;14.0;8.0;20.0;20.0;6.0;18.0;11.0;19.0;2;2023-07-30;13:00:00;1.8;4.0;4.79;21;солнечно;13290.0;1;0;1
194;Ахмат;2;ЦСКА Москва;3;2.32;3.84;14.0;11.0;5.0;6.0;5.0;2.0;3.0;3.0;40.0;60.0;6.0;2.0;21.0;11.0;1.0;1.0;4.0;1.0;2.0;1.0;68.0;73.0;38.0;34.0;308.0;461.0;80.0;83.0;11.0;18.0;18.0;12.0;12.0;10.0;11.0;22.0;2;2023-07-30;13:00:00;3.38;3.38;2.36;16;местами дождь;5612.0;1;0;2
195;Факел;1;Локомотив Москва;4;1.3;1.89;18.0;15.0;6.0;4.0;5.0;1.0;0.0;5.0;47.0;53.0;6.0;6.0;12.0;13.0;1.0;0.0;3.0;3.0;0.0;0.0;62.0;63.0;35.0;36.0;292.0;342.0;53.0;64.0;14.0;14.0;23.0;32.0;26.0;14.0;32.0;15.0;2;2023-07-30;10:30:00;2.82;3.64;2.58;18;солнечно;13085.0;1;0;2
196;Рубин;1;Оренбург;1;1.18;1.49;8.0;17.0;3.0;4.0;2.0;6.0;3.0;3.0;36.0;64.0;4.0;6.0;17.0;10.0;2.0;1.0;1.0;3.0;0.0;0.0;61.0;85.0;43.0;50.0;305.0;568.0;67.0;82.0;12.0;20.0;19.0;22.0;11.0;11.0;13.0;15.0;2;2023-07-30;08:00:00;2.18;3.85;3.38;6;переменная облачность;4822.0;1;0;0
197;Ростов;1;Зенит;1;1.3;0.82;13.0;6.0;4.0;1.0;2.0;0.0;0.0;3.0;52.0;48.0;6.0;8.0;11.0;11.0;1.0;2.0;4.0;1.0;0.0;0.0;62.0;65.0;36.0;26.0;438.0;402.0;76.0;79.0;15.0;10.0;20.0;16.0;18.0;15.0;18.0;17.0;2;2023-07-29;13:00:00;3.73;3.46;2.18;19;переменная облачность;16413.0;1;0;0
198;Урал;0;Пари НН;0;0.38;0.66;7.0;8.0;2.0;3.0;1.0;1.0;3.0;2.0;45.0;55.0;3.0;3.0;13.0;8.0;1.0;1.0;0.0;0.0;0.0;0.0;68.0;63.0;28.0;27.0;421.0;510.0;73.0;77.0;8.0;17.0;27.0;11.0;12.0;12.0;9.0;11.0;2;2023-07-29;10:30:00;2.08;3.31;4.31;7;переменная облачность;7735.0;1;0;0
199;Крылья Советов;3;Динамо Москва;3;2.15;0.99;17.0;8.0;7.0;5.0;3.0;1.0;2.0;5.0;53.0;47.0;3.0;3.0;8.0;14.0;3.0;2.0;3.0;2.0;0.0;0.0;78.0;50.0;48.0;23.0;405.0;380.0;83.0;82.0;15.0;11.0;12.0;7.0;27.0;7.0;9.0;15.0;2;2023-07-29;08:00:00;2.64;3.66;2.75;6;переменная облачность;6189.0;1;0;0
200;ПФК Сочи;2;Балтика;0;1.22;0.7;12.0;9.0;3.0;3.0;5.0;0.0;3.0;0.0;48.0;52.0;5.0;3.0;12.0;10.0;4.0;1.0;1.0;1.0;0.0;0.0;71.0;83.0;32.0;42.0;407.0;436.0;71.0;75.0;11.0;13.0;19.0;31.0;9.0;23.0;17.0;18.0;1;2023-07-23;13:00:00;2.14;3.54;3.77;15;небольшой дождь;4535.0;1;0;1
201;Ростов;2;Факел;1;1.4;0.92;16.0;17.0;6.0;5.0;4.0;5.0;4.0;5.0;64.0;36.0;4.0;4.0;15.0;9.0;2.0;4.0;2.0;4.0;0.0;0.0;56.0;69.0;33.0;35.0;418.0;229.0;78.0;62.0;13.0;16.0;18.0;22.0;29.0;20.0;6.0;16.0;1;2023-07-23;13:00:00;2.08;3.33;4.26;19;переменная облачность;11020.0;1;0;1
202;Спартак;3;Оренбург;2;2.28;1.42;23.0;7.0;7.0;4.0;10.0;0.0;2.0;4.0;50.0;50.0;13.0;2.0;11.0;10.0;2.0;2.0;2.0;4.0;0.0;0.0;65.0;67.0;39.0;29.0;377.0;385.0;82.0;79.0;6.0;14.0;24.0;12.0;20.0;15.0;12.0;20.0;1;2023-07-23;10:30:00;1.59;4.84;5.52;8;солнечно;11466.0;1;0;1
203;Ахмат;1;Крылья Советов;2;1.65;0.9;21.0;10.0;2.0;5.0;10.0;2.0;3.0;2.0;61.0;39.0;4.0;8.0;15.0;7.0;0.0;3.0;2.0;2.0;0.0;0.0;88.0;76.0;43.0;33.0;467.0;293.0;79.0;68.0;10.0;15.0;19.0;15.0;11.0;11.0;13.0;16.0;1;2023-07-22;13:00:00;2.25;3.64;3.37;16;местами дождь;4777.0;1;0;2
204;Локомотив Москва;2;Рубин;2;0.85;1.99;13.0;19.0;5.0;7.0;2.0;2.0;5.0;4.0;56.0;44.0;8.0;3.0;13.0;11.0;1.0;1.0;1.0;1.0;0.0;0.0;64.0;61.0;42.0;43.0;455.0;353.0;75.0;69.0;12.0;14.0;28.0;17.0;17.0;12.0;19.0;19.0;1;2023-07-22;10:30:00;1.77;4.17;4.74;8;солнечно;6721.0;1;0;0
205;Пари НН;0;Зенит;2;0.29;0.81;5.0;11.0;2.0;2.0;0.0;3.0;0.0;2.0;24.0;76.0;1.0;6.0;15.0;6.0;0.0;1.0;2.0;1.0;1.0;0.0;48.0;81.0;25.0;45.0;214.0;680.0;59.0;89.0;6.0;11.0;23.0;24.0;6.0;21.0;13.0;14.0;1;2023-07-22;08:15:00;5.52;3.96;1.72;7;переменная облачность;12036.0;1;0;2
206;Урал;2;ЦСКА Москва;1;2.37;1.15;10.0;8.0;3.0;3.0;2.0;3.0;2.0;1.0;34.0;66.0;6.0;3.0;10.0;8.0;2.0;0.0;2.0;2.0;0.0;0.0;52.0;80.0;24.0;34.0;287.0;551.0;62.0;81.0;7.0;12.0;14.0;15.0;9.0;16.0;12.0;7.0;1;2023-07-22;06:00:00;3.94;3.31;2.18;7;переменная облачность;13525.0;1;0;1
207;Динамо Москва;1;Краснодар;3;1.48;1.71;12.0;11.0;4.0;6.0;1.0;2.0;3.0;4.0;49.0;51.0;4.0;3.0;10.0;13.0;2.0;3.0;1.0;1.0;0.0;0.0;82.0;69.0;43.0;28.0;463.0;504.0;81.0;82.0;17.0;12.0;21.0;8.0;17.0;4.0;13.0;13.0;1;2023-07-21;12:00:00;2.1;3.93;3.5;8;солнечно;9612.0;1;0;2
