;Команда_1;Голы_1;Команда_2;Голы_2;xG_1;xG_2;Удары_1;Удары_2;Удары в створ_1;Удары в створ_2;Блок-но ударов_1;Блок-но ударов_2;Сейвы_1;Сейвы_2;Владение %_1;Владение %_2;Угловые_1;Угловые_2;Нарушения_1;Нарушения_2;Офсайды_1;Офсайды_2;Желтые карточки_1;Желтые карточки_2;Красные карточки_1;Красные карточки_2;Атаки_1;Атаки_2;Опасные атаки_1;Опасные атаки_2;Передачи_1;Передачи_2;Точность передач %_1;Точность передач %_2;Штрафные удары_1;Штрафные удары_2;Вбрасывания_1;Вбрасывания_2;Навесы_1;Навесы_2;Отборы_1;Отборы_2;Раунд;Дата;Время;Кэф_1;Кэф_х;Кэф_2;Градусы;Погода;Зрители;Дома_1;Дома_2;Таргет
33;Динамо Москва;1;Спартак;2;1.45;2.03;9.0;10.0;4.0;6.0;2.0;2.0;5.0;4.0;44.0;56.0;7.0;3.0;11.0;11.0;3.0;3.0;1.0;4.0;0.0;0.0;73.0;73.0;43.0;34.0;353.0;453.0;72.0;81.0;12.0;12.0;24.0;24.0;17.0;11.0;22.0;19.0;23;2024-04-07;12:30:00;2.5;3.57;2.99;8;солнечно;18072.0;1;0;2
34;Зенит;1;Балтика;0;1.81;0.38;17.0;10.0;8.0;3.0;5.0;3.0;3.0;6.0;65.0;35.0;10.0;4.0;5.0;11.0;1.0;0.0;1.0;0.0;0.0;0.0;84.0;68.0;47.0;27.0;654.0;345.0;87.0;77.0;8.0;6.0;12.0;18.0;15.0;11.0;7.0;13.0;23;2024-04-07;09:30:00;1.32;5.64;12.5;14;солнечно;21798.0;1;0;1
35;Ахмат;0;Локомотив Москва;2;0.27;2.58;6.0;20.0;0.0;8.0;1.0;6.0;8.0;1.0;33.0;67.0;0.0;11.0;12.0;12.0;2.0;2.0;2.0;1.0;1.0;0.0;62.0;90.0;25.0;49.0;315.0;661.0;71.0;87.0;16.0;12.0;19.0;15.0;15.0;21.0;10.0;14.0;23;2024-04-07;09:30:00;2.62;3.49;2.88;16;местами дождь;3836.0;1;0;2
36;ЦСКА Москва;4;Факел;1;1.66;0.19;23.0;6.0;8.0;1.0;5.0;1.0;1.0;4.0;50.0;50.0;9.0;3.0;14.0;8.0;0.0;1.0;2.0;0.0;0.0;0.0;72.0;75.0;41.0;23.0;375.0;396.0;71.0;73.0;7.0;14.0;26.0;28.0;22.0;6.0;9.0;17.0;23;2024-04-07;07:00:00;1.77;3.78;5.39;8;солнечно;11234.0;1;0;1
37;Ростов;2;ПФК Сочи;2;1.58;0.52;19.0;5.0;9.0;2.0;5.0;0.0;0.0;5.0;52.0;48.0;8.0;1.0;12.0;15.0;1.0;3.0;2.0;3.0;0.0;0.0;70.0;64.0;46.0;29.0;391.0;376.0;73.0;72.0;18.0;15.0;18.0;20.0;30.0;10.0;11.0;13.0;23;2024-04-06;13:00:00;2.01;3.64;4.08;19;переменная облачность;13770.0;1;0;0
38;Пари НН;3;Краснодар;4;1.58;1.64;21.0;10.0;8.0;5.0;6.0;1.0;1.0;5.0;42.0;58.0;8.0;5.0;15.0;9.0;0.0;1.0;0.0;2.0;0.0;0.0;55.0;57.0;27.0;31.0;349.0;513.0;71.0;79.0;9.0;15.0;18.0;22.0;32.0;9.0;14.0;15.0;23;2024-04-06;09:30:00;3.96;3.39;2.14;7;переменная облачность;9104.0;1;0;2
39;Урал;1;Крылья Советов;2;1.42;1.36;11.0;9.0;4.0;4.0;3.0;1.0;2.0;4.0;41.0;59.0;9.0;4.0;21.0;10.0;3.0;3.0;5.0;3.0;1.0;0.0;52.0;52.0;28.0;22.0;246.0;373.0;61.0;71.0;10.0;25.0;30.0;16.0;19.0;8.0;7.0;18.0;23;2024-04-06;07:00:00;2.87;3.31;2.74;7;переменная облачность;5912.0;1;0;2
40;Локомотив Москва;1;Краснодар;1;0.93;1.17;10.0;19.0;4.0;6.0;4.0;7.0;5.0;3.0;53.0;47.0;3.0;7.0;12.0;16.0;3.0;3.0;6.0;4.0;0.0;0.0;63.0;60.0;41.0;35.0;441.0;390.0;81.0;79.0;19.0;14.0;20.0;21.0;15.0;20.0;15.0;10.0;22;2024-03-31;12:30:00;2.59;3.46;2.94;8;солнечно;9327.0;1;0;0
41;Рубин;2;Ахмат;1;1.7;0.37;11.0;8.0;2.0;2.0;1.0;3.0;1.0;0.0;46.0;54.0;2.0;5.0;20.0;10.0;1.0;4.0;2.0;1.0;0.0;0.0;81.0;78.0;48.0;48.0;399.0;460.0;74.0;76.0;14.0;23.0;21.0;14.0;6.0;20.0;16.0;17.0;22;2024-03-31;09:30:00;2.48;3.21;3.33;6;переменная облачность;8371.0;1;0;1
42;Факел;0;Оренбург;0;0.45;0.33;14.0;10.0;1.0;2.0;5.0;3.0;3.0;2.0;43.0;57.0;6.0;7.0;19.0;16.0;3.0;1.0;2.0;1.0;0.0;0.0;54.0;47.0;31.0;23.0;239.0;337.0;64.0;74.0;18.0;22.0;26.0;17.0;24.0;19.0;19.0;20.0;22;2024-03-31;07:00:00;2.38;3.29;3.43;18;солнечно;12445.0;1;0;0
43;Спартак;0;Урал;0;1.1;0.46;21.0;7.0;10.0;2.0;2.0;2.0;2.0;9.0;60.0;40.0;4.0;5.0;11.0;16.0;0.0;5.0;2.0;4.0;0.0;0.0;67.0;60.0;47.0;29.0;490.0;325.0;77.0;65.0;21.0;11.0;32.0;19.0;17.0;15.0;9.0;17.0;22;2024-03-30;11:00:00;1.56;4.42;6.73;8;солнечно;8554.0;1;0;0
44;Балтика;2;Пари НН;0;2.43;0.43;14.0;15.0;4.0;3.0;4.0;5.0;1.0;0.0;48.0;52.0;3.0;9.0;16.0;9.0;0.0;2.0;2.0;4.0;0.0;0.0;68.0;63.0;31.0;31.0;299.0;323.0;62.0;60.0;10.0;11.0;21.0;20.0;15.0;16.0;16.0;19.0;22;2024-03-30;09:30:00;2.34;3.16;3.67;20;солнечно;7275.0;1;0;1
45;ПФК Сочи;2;ЦСКА Москва;2;2.15;1.75;15.0;13.0;8.0;3.0;1.0;2.0;0.0;6.0;59.0;41.0;5.0;4.0;14.0;6.0;1.0;0.0;2.0;2.0;0.0;0.0;87.0;67.0;44.0;24.0;550.0;382.0;83.0;77.0;5.0;15.0;16.0;15.0;19.0;17.0;17.0;22.0;22;2024-03-30;08:30:00;3.64;3.39;2.24;15;небольшой дождь;5681.0;1;0;0
46;Крылья Советов;1;Зенит;1;0.31;1.4;7.0;15.0;1.0;3.0;5.0;6.0;4.0;0.0;29.0;71.0;3.0;13.0;9.0;6.0;0.0;2.0;2.0;1.0;0.0;0.0;50.0;89.0;34.0;52.0;294.0;723.0;69.0;89.0;8.0;9.0;8.0;19.0;9.0;33.0;18.0;13.0;22;2024-03-30;06:00:00;5.29;4.16;1.71;6;переменная облачность;9701.0;1;0;0
47;Динамо Москва;1;Ростов;4;1.86;2.28;16.0;16.0;9.0;7.0;5.0;3.0;3.0;8.0;55.0;45.0;9.0;5.0;14.0;6.0;2.0;1.0;1.0;2.0;0.0;0.0;67.0;64.0;39.0;30.0;431.0;352.0;79.0;73.0;7.0;14.0;17.0;15.0;21.0;10.0;12.0;22.0;22;2024-03-29;11:30:00;2.05;3.94;3.63;8;солнечно;8052.0;1;0;2
48;Спартак;0;Факел;2;1.04;1.1;18.0;6.0;6.0;2.0;5.0;0.0;0.0;6.0;68.0;32.0;7.0;4.0;17.0;19.0;0.0;6.0;6.0;5.0;0.0;0.0;68.0;61.0;35.0;18.0;531.0;240.0;78.0;57.0;25.0;14.0;27.0;14.0;21.0;15.0;10.0;18.0;20;2024-03-10;11:00:00;1.73;3.94;5.49;8;солнечно;11640.0;0;0;2
49;Локомотив Москва;2;ПФК Сочи;2;0.98;1.08;15.0;11.0;6.0;2.0;3.0;2.0;0.0;3.0;50.0;50.0;4.0;1.0;11.0;16.0;1.0;1.0;4.0;2.0;1.0;1.0;74.0;55.0;49.0;27.0;430.0;443.0;77.0;77.0;17.0;14.0;23.0;15.0;22.0;11.0;7.0;10.0;20;2024-03-10;08:30:00;1.83;3.98;4.62;8;солнечно;9437.0;1;0;0
